"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq"
"2921","Russian Federation",2031,"Europe and central Asia",1065401683.46534,1065625422.52452,1065614206.72801,1065634176.17265,26.3615079319478,4551544752155.87,19814602802827.1
"2922","Russian Federation",2032,"Europe and central Asia",1059346430.92455,1059571707.90565,1059560397.33041,1059580553.65753,26.3615079319478,4631765964419.79,20023728493551.5
"2923","Russian Federation",2033,"Europe and central Asia",1052843856.01721,1053070561.52249,1053059161.75555,1053079499.3955,26.3615079319478,4713401079709.5,20243545420973.7
"2924","Russian Federation",2034,"Europe and central Asia",1045561226.73095,1045789244.2175,1045777757.61433,1045798275.94578,26.3615079319478,4796475018139.14,20473891749417.1
"2925","Russian Federation",2035,"Europe and central Asia",1037746069.84044,1037975061.97797,1037963501.88228,1037984177.74235,26.3615079319478,4881013139041.16,20714620304306.9
"2926","Russian Federation",2036,"Europe and central Asia",1027643693.75433,1027873180.07008,1027861567.03929,1027882363.6972,26.3615079319478,4967041248707.56,20965597954899.3
"2927","Russian Federation",2037,"Europe and central Asia",1018744448.86957,1018974311.94219,1018962645.57768,1018983566.42862,26.3615079319478,5054585608267.57,21226705029915.5
"2928","Russian Federation",2038,"Europe and central Asia",1009706610.40465,1009936638.36822,1009924921.13939,1009945960.86719,26.3615079319478,5143672941704.18,21497834764470.3
"2929","Russian Federation",2039,"Europe and central Asia",1000177269.55993,1000407202.27841,1000395437.83045,1000416588.706,26.3615079319478,5234330444011.98,21778892776767.6
"2930","Russian Federation",2040,"Europe and central Asia",990134823.26017,990364312.790946,990352516.956141,990373749.910768,26.3615079319478,5326585789498.73,22069796573111.8
"2931","Russian Federation",2041,"Europe and central Asia",978605372.432627,978833928.896366,978822122.4605,978843400.888144,26.3615079319478,5420467140233.32,22370475079856.9
"2932","Russian Federation",2042,"Europe and central Asia",968708084.283941,968935756.037127,968923931.640257,968945262.829191,26.3615079319478,5516003154642.55,22680868200985.3
"2933","Russian Federation",2043,"Europe and central Asia",958796464.292302,959023129.162569,959011285.389318,959032668.075397,26.3615079319478,5613222996259.49,23000926400073.6
"2934","Russian Federation",2044,"Europe and central Asia",949112672.113919,949337857.856558,949326015.178706,949347407.887636,26.3615079319478,5712156342625.98,23330610305466.8
"2935","Russian Federation",2045,"Europe and central Asia",939777462.530959,940001271.315876,939989423.620618,940010835.963982,26.3615079319478,5812833394352.08,23669890337540.1
"2936","Russian Federation",2046,"Europe and central Asia",929329884.799997,929551715.929747,929539895.178289,929561266.026457,26.3615079319478,5915284884335.17,24018746356986.1
"2937","Russian Federation",2047,"Europe and central Asia",921100327.317006,921320488.650854,921308676.058591,921330039.009604,26.3615079319478,6019542087141.54,24377167333118.1
"2938","Russian Federation",2048,"Europe and central Asia",913651122.539402,913869507.356138,913857712.723316,913879045.19975,26.3615079319478,6125636828553.33,24745151031231
"2939","Russian Federation",2049,"Europe and central Asia",907225393.677207,907441907.525835,907430142.401199,907451418.764597,26.3615079319478,6233601495283.73,25122703718110.8
"2940","Russian Federation",2050,"Europe and central Asia",901062535.856827,901277397.534983,901265653.067224,901286887.046138,26.3615079319478,6343469044863.45,25509839884830.5
"2941","Rwanda",2021,"Sub-Saharan Africa",29368549.5139018,29368549.5139018,29368549.5139018,29368549.5139018,13.428698299757,30121160265,51758876126.196
"2942","Rwanda",2022,"Sub-Saharan Africa",28714295.1642228,28716075.4314874,28715190.6896784,28717627.9505129,13.428698299757,32578444519.4187,53215812056.2594
