"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc"
"608","Canada",2028,"North America",296197872.854832,296291099.173206,296279721.902515,296302926.257966,20.3239047443815,2109766311028.69,8229072600876.26,0.65488,208.458147920812,4.27101892199151,7287.58389703129,40228900,12521409548.4882
"609","Canada",2029,"North America",298750248.281704,298846292.523789,298834632.681323,298858385.644761,20.3239047443815,2154840130227.28,8246405866214.96,0.65488,211.565036192405,4.35643930043135,7399.16774358163,40542856,13068594399.01
"610","Canada",2030,"North America",301386351.366466,301485128.872684,301473184.454282,301497497.294508,20.3239047443815,2200876922986.74,8272033228365.31,0.65488,214.615438161962,4.44356808643995,7512.46010628586,40852177,13637326008.3252
"611","Canada",2031,"North America",304204539.402067,304306243.764579,304293983.100313,304318925.016834,20.3239047443815,2247897262626.48,8305735696315.95,0.65488,217.563050166383,4.53243944816877,7627.48714509043,41165015,14231208226.6441
"612","Canada",2032,"North America",307141136.149382,307246048.362184,307233435.477821,307259080.936828,20.3239047443815,2295922162001.81,8347309409907.92,0.65488,220.437322595886,4.62308823713213,7744.27542048979,41474730,14848977185.8392
"613","Canada",2033,"North America",310186372.503653,310294729.512192,310281736.604254,310308141.620426,20.3239047443815,2344973082894.39,8396564972622.91,0.65488,223.243085623915,4.7155500018748,7862.85189965945,41777908,15490275400.154
"614","Canada",2034,"North America",313248524.807978,313360516.16494,313347122.736082,313374327.792178,20.3239047443815,2395071945603.22,8453326819640.61,0.65488,226.024213600457,4.80986100191227,7983.24396268283,42074669,16155955020.0422
"615","Canada",2035,"North America",316213739.549641,316329547.012452,316315734.175963,316343776.332462,20.3239047443815,2446241138740.58,8517432619442.38,0.65488,228.835679822769,4.90605822195053,8105.47940887355,42362943,16846028382.6885
"616","Canada",2036,"North America",319037247.220899,319157032.645493,319142783.693316,319171695.677866,20.3239047443815,2498503529237.27,8588732707325.77,0.65488,231.70036162109,5.00417938638955,8229.58646319441,42643466,17561571585.6562
"617","Canada",2037,"North America",321771444.63961,321895393.186538,321880688.147037,321910509.287736,20.3239047443815,2551882472561.55,8667089549276.67,0.65488,234.595206703308,5.10426297411732,8355.59378277475,42916859,18303674699.9227
"618","Canada",2038,"North America",324533053.387897,324661403.034816,324646215.74905,324676997.93298,20.3239047443815,2606401823156.45,8752377234724.81,0.65488,237.46608052355,5.20634823359968,8483.5304635276,43185493,19074260897.5994
